ADDRESS,week,count_transfers,total_transfer_amount
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,1195689,37543735.56623000
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2,1273067,56083079.90492670
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3,1204470,45209416.74114360
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4,1230641,31576091.507413200
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5,1464997,26857357.04408880
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6,1412589,27688385.70571380
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,7,1246760,31835995.259583500
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8,1053630,32134674.626536700
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9,1242126,25367374.237891300
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10,1244880,64476723.75556130
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11,1308524,44560850.80000920
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,12,1208333,32482121.803686200
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,13,1147941,17193768.235996400
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,14,1047491,17652665.661311200
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,15,1066844,18382342.010402000
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,16,1862405,10929680.023306200
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17,1644165,7938847.851074610
